;a_EP;a_Err_EP;T_L_EP;T_L_Err_EP;T_M_EP;T_M_Err_EP;m_EP;m_Err_EP;a_PA;a_Err_PA;T_L_PA;T_L_Err_PA;T_M_PA;T_M_Err_PA;m_PA;m_Err_PA;a_Sur;a_Err_Sur;T_L_Sur;T_L_Err_Sur;T_M_Sur;T_M_Err_Sur;m_Sur;m_Err_Sur;ChiSquare
Iteration_294;0.00016816181981012214;;1.031989549888953;;28.0;;3.8733146225870274;;0.000100985867651491;;6.0;;30.0;;3.0;;4.1909877894200004e-05;;-1.135506405286649;;31.0;;1.6486841335838665;;442445.53605484526
Iteration_87;6.241585585138911e-05;;0.5886407903921497;;28.0;;3.253398487879256;;0.00011584236059109406;;3.3685030607444797;;35.0;;3.7624014421061904;;3.0335936587391027e-05;;-1.2567351960691164;;28.0;;3.0910282987224047;;448500.69982661254
Iteration_184;8.610534485618526e-05;;1.3857074990163785;;30.255171013739265;;2.51412586706267;;0.00010365776525557415;;6.0;;30.0;;4.747562180150012;;4.846529519062965e-05;;-1.1704741756300772;;31.0;;2.9138315155977397;;454054.3529152778
Iteration_420;0.00039743683644413735;;0.892722976151016;;35.0;;3.3612678516821224;;0.0001011978380904663;;4.129087786513537;;35.0;;3.0;;5.1838454609194935e-05;;-0.9687868435631533;;30.335185950933425;;1.500153261656656;;459109.7760569031
Iteration_57;5.088015205023371e-05;;0.6170528145777108;;28.0;;2.574373804678921;;0.00015640406381725017;;3.8453702599061987;;35.0;;4.219516662677818;;3.1049722402838274e-05;;-1.2730211428628069;;28.0;;3.5;;483831.23577261536
Iteration_60;0.00012693173997183911;;0.5414627627384714;;28.0;;2.50134774582751;;0.00010000032432635511;;4.372652012127938;;30.0;;4.568401925751021;;3.0025272575458523e-05;;-1.0596059414573498;;28.0;;1.9768179800098395;;492791.7537453938
Iteration_456;0.00034593090564277333;;0.9915991795782494;;28.0;;3.769309375016933;;0.00013205886412792753;;6.0;;35.0;;5.0;;4.232970557942999e-05;;-1.1473502459259484;;31.0;;1.5;;495750.79637914896
Iteration_252;5.127537295365588e-05;;0.5874799988907312;;28.0;;2.500077996608631;;0.00013809281902735037;;4.276118584707065;;35.0;;5.0;;3.091873485289127e-05;;-0.9457437906602664;;28.0;;3.5;;505202.6594577127
Iteration_216;6.959275573879603e-05;;0.6358549213475682;;35.0;;3.135475686342279;;0.00021725304621359641;;6.0;;30.0;;4.971598533376086;;3.0000000000000004e-05;;-0.6987344715552242;;31.0;;3.5;;518826.4113059488
Iteration_699;0.0003997580140012285;;0.9152585523404781;;30.82508621956786;;2.5035834989059063;;0.00010468419270129569;;4.824932691433213;;30.0;;5.0;;5.435900175276583e-05;;-0.6367393218441704;;28.0;;1.522873218436995;;540993.2999656562
Iteration_715;0.0001598963513587569;;1.276141682129098;;28.4762043730726;;2.50042248124777;;0.00011225935991159145;;6.0;;33.04483034750399;;3.0;;3.1968524582962934e-05;;-0.7681184066790552;;31.0;;1.5909774896358186;;561413.2229222598
