;a_EP;a_Err_EP;T_L_EP;T_L_Err_EP;T_M_EP;T_M_Err_EP;m_EP;m_Err_EP;a_PA;a_Err_PA;T_L_PA;T_L_Err_PA;T_M_PA;T_M_Err_PA;m_PA;m_Err_PA;a_Sur;a_Err_Sur;T_L_Sur;T_L_Err_Sur;T_M_Sur;T_M_Err_Sur;m_Sur;m_Err_Sur;ChiSquare
Iteration_39;0.000379251;;0.786001534;;27;;3.869191807;;0.000132149;;5.681334218;;30;;3.463200809;;4.26E-05;;-0.887878335;;30.4499583;;3.5;;436031.0781
Iteration_349;0.000318155;;0.858929696;;27.96711951;;2.5;;9.06E-05;;6;;35;;5;;3.00E-05;;-1.246271624;;32;;3.5;;437675.6469
Iteration_271;0.000367304;;1.862564808;;32.95888525;;6;;0.000128873;;2.645640418;;30;;4.297911171;;3.00E-05;;-0.5;;31.22775493;;2.024217943;;455653.2185
Iteration_245;0.000408371;;1.396462995;;27;;4.193959525;;0.000142858;;3.829841661;;30;;5;;3.00E-05;;-0.551900193;;28;;1.5;;457973.0165
Iteration_50;0.000314043;;1.556034448;;30.26033185;;2.898513732;;9.19E-05;;3.782205793;;30;;4.754296438;;3.01E-05;;-0.683223479;;32;;2.893191326;;459273.2656
Iteration_144;0.000268408;;1.046639676;;27;;2.500661313;;0.000194157;;3.641548592;;32.2391425;;5;;3.01E-05;;-1.322300641;;30.39478406;;2.595095754;;461678.8092
Iteration_311;0.000388649;;0.564569307;;27;;4.087159432;;9.69E-05;;3.91168481;;30;;4.197072223;;3.01E-05;;-1.529175637;;28;;3.5;;465076.5753
Iteration_622;0.000262254;;0.739440894;;27;;2.517390569;;0.000178127;;6;;30;;3.96339356;;3.00E-05;;-1.045862114;;28;;3.293598117;;475965.925
Iteration_554;0.000292786;;1.069151398;;33.41863704;;4.630501014;;0.000128167;;4.963280293;;35;;5;;3.00E-05;;-1.753089612;;31.21305423;;3.042498012;;476809.9648
Iteration_617;0.000369955;;0.839335233;;35;;4.654599005;;0.000100521;;5.761951568;;30;;5;;3.00E-05;;-1.711558528;;32;;2.668550431;;480996.9969
Iteration_131;0.000499693;;1.534683023;;27;;2.789412438;;0.000135879;;3.771347185;;32.46239061;;4.510235993;;5.59E-05;;-1.589987522;;28;;1.507893228;;488426.9193
Iteration_745;0.000332919;;1.154296086;;27;;5.049085685;;0.000185447;;3.759116132;;30;;2.952023423;;3.00E-05;;-1.300982394;;28;;1.968521616;;494768.4657
Iteration_408;0.000323127;;1.230646212;;27;;2.500785594;;0.000103707;;3.79567522;;30;;4.076247739;;3.00E-05;;-1.633073984;;28;;3.5;;495400.1842
Iteration_61;0.00024155;;1.050671502;;35;;2.513853428;;6.65E-05;;4.278763309;;35;;3.972359207;;3.04E-05;;-1.06549724;;32;;3.155662473;;500451.7673
Iteration_287;0.00030939;;1.10500525;;27;;3.065302797;;0.000189808;;6;;30;;3.051456666;;4.11E-05;;-1.304116403;;30.44358846;;3.5;;501049.9145
Iteration_446;0.000378813;;0.5;;27;;3.268037825;;0.000100538;;2.438216715;;30;;5;;3.00E-05;;-0.962945211;;32;;3.5;;511568.0584
Iteration_449;0.000324185;;1.159720833;;27;;2.5;;0.000169581;;6;;31.07917077;;5;;3.97E-05;;-1.663133554;;32;;3.5;;517893.0542
Iteration_367;0.000447859;;1.278456369;;27;;2.500093208;;7.03E-05;;2.157811636;;30;;2.903797182;;5.38E-05;;-1.270084484;;29.29360264;;3.5;;518123.9953
Iteration_83;0.000297878;;0.779032735;;27;;2.5;;0.000114733;;4.340714566;;35;;3.665145231;;3.00E-05;;-1.250045262;;28;;2.24764685;;526062.3508
Iteration_370;0.000312993;;1.29672632;;27;;3.08322816;;0.00014062;;1.506354431;;30;;3.743012451;;3.00E-05;;-1.452998561;;32;;3.5;;530316.4549
Iteration_148;0.000282634;;0.530151565;;34.95565399;;6;;0.000185888;;5.310792714;;30;;3.805637953;;3.96E-05;;-0.641432712;;29.04542255;;3.5;;531183.6684
Iteration_597;0.000254979;;0.5;;29.74847613;;3.191488669;;0.000148336;;1.512498493;;30;;3.723459318;;3.01E-05;;-0.819587078;;30.21118147;;2.149762851;;532768.868
Iteration_651;0.000303622;;1.48303628;;27;;2.776661458;;0.00012803;;4.752535139;;35;;3.52098832;;3.46E-05;;-1.603617719;;28;;3.5;;536414.7326
Iteration_296;0.000276247;;0.816539673;;27;;3.388157922;;0.000172805;;2.747294492;;35;;3.001805009;;3.06E-05;;-1.21818961;;32;;3.5;;543573.6524
Iteration_686;0.000290135;;0.771591631;;35;;3.245238415;;0.00010925;;4.871394027;;30;;5;;3.00E-05;;-0.634048446;;32;;2.274453589;;546847.7067
Iteration_392;0.000346858;;1.491725218;;27;;2.500635335;;0.000115243;;6;;30;;4.285359928;;3.33E-05;;-0.854625104;;28;;3.5;;547108.3895
Iteration_536;0.000303485;;0.761743177;;27;;2.500274188;;0.000101576;;3.976028129;;30;;2.540302828;;3.00E-05;;-0.5;;32;;3.5;;554175.2385
Iteration_185;0.000323177;;1.025281074;;27;;3.199723548;;0.000142591;;6;;35;;4.677113201;;3.02E-05;;-1.864942784;;28;;3.5;;560956.5239
Iteration_186;0.000305161;;0.790032264;;27;;3.57152982;;0.000186696;;6;;32.5471565;;3.472334769;;3.04E-05;;-0.5;;32;;3.333319165;;565490.6771
Iteration_62;0.000331292;;1.813916934;;28.47020909;;2.5;;0.000107758;;5.810115734;;30;;2.541150732;;3.00E-05;;-1.7977789;;32;;1.935013871;;571637.2878
Iteration_545;0.000323337;;1.110302975;;27;;5.407282293;;0.000162001;;6;;32.22874758;;2.118395166;;3.09E-05;;-0.517039928;;32;;3.5;;581315.3671
Iteration_632;0.000366615;;1.006629155;;33.5274989;;4.360082749;;6.40E-05;;6;;30;;2.502347738;;3.00E-05;;-1.540571647;;28;;3.5;;586297.1619
Iteration_47;0.000222306;;1.002317997;;32.66347925;;2.793753171;;0.000130512;;5.068251548;;35;;5;;3.00E-05;;-1.641825275;;32;;3.5;;592646.1688
Iteration_436;0.000345054;;1.723193222;;27;;3.231585916;;0.00015847;;6;;33.73388817;;5;;3.00E-05;;-0.5;;32;;3.5;;596591.7274
Iteration_315;0.0005;;0.937304488;;27;;4.134620628;;8.73E-05;;6;;30;;4.564142704;;3.00E-05;;-1.357609498;;29.17771152;;3.5;;608774.2972
Iteration_587;0.000303593;;0.5;;28.46051197;;2.610915261;;9.07E-05;;2.513876732;;35;;4.745770563;;3.36E-05;;-0.569982815;;32;;3.5;;617087.1563
Iteration_119;0.00030028;;0.959708978;;35;;3.343807966;;0.000195462;;6;;30;;5;;3.00E-05;;-1.409829831;;32;;1.500948359;;619600.2871
Iteration_685;0.000326872;;1.219563459;;32.62406637;;4.007335921;;9.40E-05;;5.03019626;;30;;4.08355273;;3.00E-05;;-0.619784053;;28;;3.5;;620594.827
Iteration_438;0.00037921;;1.407661689;;27;;5.302107188;;0.000149106;;6;;30;;3.456702628;;3.00E-05;;-1.131514504;;28;;3.5;;628717.0892
Iteration_306;0.000333033;;0.889945031;;35;;3.772648645;;0.000115504;;6;;31.72878287;;5;;3.62E-05;;-0.648893155;;28;;1.777075442;;629918.5175
Iteration_295;0.000234743;;1.087784838;;35;;3.384676116;;0.000135636;;5.309415161;;32.13826475;;4.663510004;;3.02E-05;;-0.966618962;;28;;2.958483271;;657337.7356
Iteration_31;0.000282486;;0.902951308;;32.60380198;;2.702722306;;8.12E-05;;4.881310823;;35;;2.863439966;;4.12E-05;;-0.958144816;;32;;2.618259291;;662955.4281
Iteration_328;0.000499954;;1.248413891;;27;;5.729234792;;0.000204718;;6;;30.62683246;;3.655357353;;3.99E-05;;-1.708797185;;32;;1.871051074;;663247.2398
Iteration_373;0.000351907;;0.5;;35;;3.409247563;;8.71E-05;;6;;30;;5;;4.12E-05;;-1.379717286;;28;;3.5;;671376.5321
Iteration_6;0.000266401;;0.5;;27;;2.5;;0.000218736;;2.859878696;;35;;4.738744957;;3.64E-05;;-0.836733986;;32;;3.5;;689325.0075
Iteration_755;0.000282036;;0.5;;27;;2.500025771;;0.000184373;;6;;30;;2.100555787;;3.00E-05;;-1.113333797;;28;;1.502221859;;689905.2943
Iteration_708;0.000476237;;0.660855048;;27;;5.43309883;;0.000104508;;4.800664904;;30;;5;;3.22E-05;;-1.334152374;;28;;3.5;;695985.4452
Iteration_178;0.000361736;;1.494858086;;27;;4.266612509;;0.000162205;;4.645261456;;31.44264532;;5;;3.00E-05;;-0.672550891;;28;;3.5;;707737.0568
Iteration_169;0.000444534;;0.845831076;;27.17446148;;2.988680445;;6.97E-05;;6;;35;;3.445856715;;3.00E-05;;-1.26810733;;32;;3.5;;719162.7637
Iteration_620;0.000329097;;1.046367476;;27;;2.500434101;;0.000153572;;6;;34.01450393;;4.74661145;;3.01E-05;;-0.78742779;;28;;1.878393972;;720775.9033
Iteration_209;0.0004137;;0.565281874;;27;;2.500132848;;8.66E-05;;6;;30;;3.417650706;;3.80E-05;;-1.323167814;;28;;3.5;;721751.458
Iteration_133;0.000389064;;1.372875847;;27;;2.5;;0.000118387;;6;;30;;4.002431901;;3.00E-05;;-1.123970165;;32;;2.777308137;;727904.1377
Iteration_321;0.000246895;;0.629560195;;32.21370644;;4.743067689;;0.000137967;;4.872696169;;35;;2.503041132;;3.00E-05;;-1.134039121;;28;;3.5;;733893.217
Iteration_159;0.00035561;;1.172592493;;27;;4.513060327;;0.000141456;;6;;35;;2.865178577;;3.74E-05;;-0.895809502;;28.08287181;;3.5;;737172.8321
Iteration_314;0.000384293;;1.248853128;;35;;2.87216893;;6.91E-05;;6;;30;;4.21328172;;3.00E-05;;-0.526960665;;32;;2.655806918;;737268.1754
Iteration_3;0.000232608;;1.078053701;;34.30018859;;3.565221518;;0.000131954;;3.722830009;;30;;2.100147626;;3.58E-05;;-0.899794794;;32;;3.5;;741002.0547
Iteration_523;0.000372889;;1.183626622;;27;;2.500127268;;0.000141637;;6;;35;;5;;3.02E-05;;-0.651179411;;28;;1.500530021;;746388.141
Iteration_217;0.000393996;;0.967082544;;27;;2.814942024;;0.000151208;;3.800372052;;35;;5;;4.19E-05;;-1.060888362;;32;;2.500050217;;750273.5575
Iteration_357;0.000297734;;1.404982976;;27;;2.500045845;;0.000168394;;3.116327338;;30;;5;;3.00E-05;;-1.114772792;;28;;3.078163998;;750973.8193
Iteration_737;0.000499969;;1.530456726;;31.49234922;;5.410346344;;8.27E-05;;5.783995618;;31.78314841;;3.981634633;;4.60E-05;;-0.5;;28;;3.5;;752307.6762
Iteration_641;0.000299092;;0.882223671;;27;;2.500002714;;0.000120742;;2.683737393;;35;;2.100764088;;4.79E-05;;-0.661680679;;32;;3.382343532;;762088.849
Iteration_163;0.000199252;;0.975723799;;35;;2.502841809;;9.40E-05;;4.242724302;;35;;3.335971781;;3.00E-05;;-1.371617877;;32;;3.5;;777542.2076
Iteration_442;0.000406482;;0.863791082;;27;;3.750390855;;0.000128666;;1;;31.30510155;;5;;3.85E-05;;-1.143953532;;32;;3.5;;795213.0915
Iteration_25;0.000453545;;1.128114262;;27;;2.505213811;;8.07E-05;;6;;30;;3.518101484;;3.02E-05;;-0.751138531;;32;;3.5;;799204.6343
Iteration_697;0.000271426;;1.4423727;;27;;2.5;;0.000196278;;4.99864593;;30.9131939;;3.29910917;;3.00E-05;;-1.165778676;;28;;3.5;;800383.8035
Iteration_527;0.00029772;;1.507150661;;35;;3.178666751;;0.000109507;;4.639890333;;35;;5;;3.00E-05;;-0.951385165;;28;;1.5387691;;809094.2963
Iteration_395;0.000498529;;0.997536078;;27;;2.50358728;;8.67E-05;;5.383458005;;30;;3.349675382;;4.51E-05;;-1.703848994;;32;;3.5;;811743.864
Iteration_365;0.00025914;;0.679165547;;35;;2.508683463;;5.36E-05;;4.587501782;;30;;2.101464331;;3.00E-05;;-0.64079649;;32;;3.5;;812066.7451
Iteration_444;0.000282219;;1.540629324;;27;;3.129950753;;0.000234448;;4.438375573;;35;;2.464399144;;3.00E-05;;-1.164674229;;28;;1.920875068;;819613.2361
Iteration_72;0.000249842;;1.06712984;;28.72648256;;2.500026546;;0.000141733;;2.151773031;;35;;3.251847415;;4.07E-05;;-0.873903522;;32;;3.5;;829382.0877
Iteration_134;0.0002575;;0.54076367;;27;;2.5;;0.000143818;;6;;35;;2.1;;3.44E-05;;-1.733003369;;28;;3.5;;832448.5669
Iteration_242;0.000409322;;0.870949593;;27;;2.719281307;;0.00010924;;4.782931671;;30;;5;;3.00E-05;;-1.034817645;;32;;3.5;;832904.6581
Iteration_240;0.000384782;;0.550654313;;27.74209957;;4.519325771;;0.000153029;;6;;30;;5;;3.00E-05;;-0.976348046;;32;;3.5;;836074.8991
Iteration_701;0.000372893;;1.158487969;;32.20164227;;2.500062965;;6.40E-05;;5.216757236;;31.06395449;;5;;3.01E-05;;-1.197445084;;28;;2.718990775;;842439.2405
Iteration_515;0.000261812;;0.5;;35;;3.633544896;;0.000149813;;4.168819533;;30;;5;;3.21E-05;;-1.098075556;;28;;2.381800156;;891767.5573
Iteration_427;0.000386702;;1.603627886;;35;;4.645310837;;9.85E-05;;6;;35;;5;;3.07E-05;;-0.825649827;;32;;3.5;;894850.8155
Iteration_127;0.000499761;;0.759480022;;27;;3.505605818;;0.00010859;;6;;35;;5;;3.05E-05;;-1.202043268;;32;;2.333835155;;896865.9736
Iteration_29;0.000304481;;0.83865615;;27;;2.682594329;;0.000208804;;4.613034091;;30;;4.583386343;;3.02E-05;;-1.429999581;;32;;3.5;;897619.0083
Iteration_678;0.000379704;;0.989769588;;27.64399395;;5.259539213;;0.000116651;;1;;35;;5;;3.00E-05;;-1.010090476;;28;;3.5;;919448.134
Iteration_238;0.000336622;;0.721326828;;27;;3.603418953;;0.000162934;;1.963799224;;35;;2.466380937;;4.20E-05;;-0.730990397;;31.59307327;;2.837766453;;919557.3965
Iteration_445;0.000265387;;1.52750728;;35;;3.292418581;;8.82E-05;;1.51049973;;30;;2.634416113;;3.00E-05;;-1.027621901;;32;;3.5;;926568.7902
Iteration_304;0.000372557;;0.5;;27;;2.5;;0.000126733;;6;;30;;2.978975224;;3.29E-05;;-0.593614715;;32;;2.527549737;;933711.1241
Iteration_743;0.000340791;;1.06676049;;31.19256497;;5.535104918;;0.000133019;;4.842489023;;30;;3.006893124;;3.01E-05;;-0.571481529;;28;;2.736244966;;936414.1439
Iteration_317;0.000348554;;1.066358436;;27;;2.514222411;;0.000125067;;6;;30;;3.755114878;;3.01E-05;;-0.5;;28;;3.5;;937294.7948
Iteration_182;0.000492904;;0.950414485;;27;;2.500798722;;0.000140205;;5.436455271;;34.27093002;;5;;3.00E-05;;-1.259201041;;32;;1.500002629;;945684.0927
Iteration_407;0.000471326;;0.788410524;;31.42439653;;4.057224753;;9.89E-05;;5.27708658;;35;;4.29052806;;3.69E-05;;-0.526066448;;31.13901016;;1.91105862;;958939.2534
Iteration_688;0.00028382;;1.136761392;;35;;2.503002287;;7.53E-05;;3.778426989;;33.07475146;;4.272360115;;3.24E-05;;-0.5;;32;;2.926610938;;971622.1969
Iteration_660;0.000380223;;1.451688483;;27;;4.149334985;;0.000128263;;5.315644505;;30;;2.100334971;;3.83E-05;;-0.5;;28;;3.5;;974305.1317
Iteration_310;0.000308318;;1.330445038;;27;;2.500333189;;0.000177369;;6;;35;;5;;3.14E-05;;-0.813215525;;28;;3.5;;976995.5404
Iteration_673;0.000301758;;0.5;;33.81885909;;2.503416504;;0.000118435;;4.932287003;;30;;4.727684622;;5.65E-05;;-0.608029859;;32;;3.5;;982543.6342
Iteration_94;0.000494791;;1.648991103;;27;;4.584933071;;0.000108118;;6;;30;;3.871163438;;3.00E-05;;-1.034764062;;28;;3.198249079;;997552.2246
Iteration_582;0.000348978;;1.294275714;;35;;4.296989415;;8.37E-05;;4.966583923;;35;;3.045928902;;3.39E-05;;-1.461024345;;32;;3.5;;1006412.881
Iteration_607;0.000222059;;0.56305266;;35;;2.5;;0.000102605;;1.854362704;;35;;4.780080422;;3.77E-05;;-0.5;;32;;3.5;;1022600.702
Iteration_750;0.000440279;;0.5;;27;;2.760439546;;0.000104721;;6;;30;;4.339353101;;3.01E-05;;-0.906219541;;32;;3.5;;1023652.58
Iteration_204;0.000368165;;0.950356901;;27;;3.568012413;;8.38E-05;;3.082327325;;33.74178468;;2.1;;3.00E-05;;-1.496116464;;32;;3.5;;1023719.666
Iteration_736;0.000292122;;1.050041494;;27;;2.5;;0.000156242;;3.857772293;;35;;3.657354033;;3.00E-05;;-0.627214594;;28;;3.026253769;;1049281.448
